category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,21614.26,168.0,15100.74,24545.15,0.0,0.0,0.0,24545.15,9444.41
Ігри,15239.0,169.0,9130.17,15995.72,2.0,191.84,350.0,15645.72,6707.39
Інші,52.81,2.0,21.12,48.61,0.0,0.0,0.0,48.61,27.49
Канцтовари,7001.18,295.0,5064.93,9550.31,0.0,0.0,0.0,9550.31,4485.38
Книга,56812.63,730.0,35163.84,53505.02,2.0,165.54,230.0,53275.02,18276.72
Конструктори,7965.88,20.0,4856.95,7360.91,0.0,0.0,0.0,7360.91,2503.96
Наочні посібники,1005.29,59.0,1364.81,2178.43,0.0,0.0,0.0,2178.43,813.62
Наука,733.28,16.0,1795.3,2830.05,1.0,223.38,349.0,2481.05,909.13
Пакет,0.0,7.0,82.4,166.53,0.0,0.0,0.0,166.53,84.13
Творчість,16205.11,323.0,15708.55,27868.28,1.0,165.82,245.0,27623.28,12080.55
