category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,16941.83,118.0,10482.44,17009.43,1.0,485.53,698.0,16311.43,6314.52
Ігри,7085.52,162.0,8884.4,15387.18,1.0,403.78,498.0,14889.18,6408.56
Інші,0.0,2.0,21.12,50.0,0.0,0.0,0.0,50.0,28.88
Канцтовари,2335.22,224.0,4534.71,8343.27,0.0,0.0,0.0,8343.27,3808.56
Книга,28161.88,804.0,37861.38,57802.06,1.0,62.1,90.0,57712.06,19912.78
Конструктори,1002.43,19.0,3525.54,5476.89,1.0,557.76,760.0,4716.89,1749.11
Наочні посібники,1230.31,48.0,1211.34,2043.61,0.0,0.0,0.0,2043.61,832.27
Наука,233.37,11.0,1052.67,1710.55,0.0,0.0,0.0,1710.55,657.88
Пакет,0.0,7.0,80.2,166.56,0.0,0.0,0.0,166.56,86.36
Творчість,15616.56,299.0,11896.86,21383.45,10.0,20.02,50.0,21333.45,9456.61
