category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,10773.48,226.1,12049.67,20006.57,2.0,171.18,293.0,19713.57,7835.08
Ігри,4618.93,85.0,4351.35,7655.31,0.0,0.0,0.0,7655.31,3303.96
Інші,0.0,1.0,5.21,10.0,0.0,0.0,0.0,10.0,4.79
Канцтовари,1488.82,156.0,2128.99,4018.2,2.0,62.0,108.0,3910.2,1843.21
Книга,22826.68,643.0,23066.44,37556.53,3.0,197.08,318.0,37238.53,14369.17
Конструктори,1102.77,18.0,3005.59,4695.09,0.0,0.0,0.0,4695.09,1689.5
Музика,0.0,1.0,316.11,498.0,0.0,0.0,0.0,498.0,181.89
Наочні посібники,918.36,38.0,693.41,1199.32,0.0,0.0,0.0,1199.32,505.91
Наука,937.39,8.0,827.31,1347.0,0.0,0.0,0.0,1347.0,519.69
Пакет,0.0,2.0,29.87,59.0,0.0,0.0,0.0,59.0,29.13
Творчість,9402.37,223.0,10354.76,17941.98,0.0,0.0,0.0,17941.98,7587.22
