category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,40255.6,429.0,49158.26,81205.18,3.0,422.35,692.0,80513.18,31777.27
Ігри,14536.34,344.0,21320.51,36495.22,0.0,0.0,0.0,36495.22,15174.71
Інші,42.01,8.0,57.52,140.0,0.0,0.0,0.0,140.0,82.48
Канцтовари,5265.06,485.0,9807.88,18386.35,4.0,102.15,178.0,18208.35,8502.62
Книга,53746.41,1038.0,56161.98,87135.07,2.0,177.13,275.0,86860.07,30875.22
Конструктори,17016.78,69.0,16806.01,26198.75,0.0,0.0,0.0,26198.75,9392.74
Наочні посібники,565.9,79.0,1722.8,2895.42,0.0,0.0,0.0,2895.42,1172.62
Наука,5104.11,31.0,3411.31,5525.45,1.0,137.94,225.0,5300.45,2027.08
Пакет,350.31,3.0,35.11,72.0,0.0,0.0,0.0,72.0,36.89
Творчість,28489.95,599.0,33798.55,60348.57,1.0,96.8,315.0,60033.57,26331.82
