category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,21507.73,221.25,13406.88,22919.02,0.0,0.0,0.0,22919.02,9512.14
Ігри,7713.84,107.0,5354.23,9054.52,1.0,42.21,75.0,8979.52,3667.5
Канцтовари,6841.66,339.0,5710.7,10764.23,0.0,0.0,0.0,10764.23,5053.53
Книга,30417.45,798.0,32538.07,52212.21,2.0,135.72,225.0,51987.21,19584.86
Конструктори,6157.52,40.0,7217.67,11500.55,0.0,0.0,0.0,11500.55,4282.88
Музика,0.0,1.0,271.04,425.0,0.0,0.0,0.0,425.0,153.96
Наочні посібники,1151.14,104.0,1180.06,1905.61,0.0,0.0,0.0,1905.61,725.55
Наука,596.46,11.0,887.14,1450.0,0.0,0.0,0.0,1450.0,562.86
Пакет,42.45,1.0,12.0,18.0,0.0,0.0,0.0,18.0,6.0
Творчість,11950.03,279.0,14058.94,24264.86,1.0,145.7,255.0,24009.86,10096.62
