category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,7446.06,204.0,12736.87,21950.15,1.0,33.12,65.0,21885.15,9181.4
Ігри,7628.76,150.0,8378.48,14099.18,0.0,0.0,0.0,14099.18,5720.7
Інші,0.0,1.0,5.21,10.0,0.0,0.0,0.0,10.0,4.79
Канцтовари,1710.17,225.0,4534.67,8563.16,0.0,0.0,0.0,8563.16,4028.49
Книга,30682.88,535.0,28503.36,43868.78,2.0,108.8,170.0,43698.78,15304.22
Конструктори,1433.03,18.0,3822.0,6149.13,0.0,0.0,0.0,6149.13,2327.13
Наочні посібники,1274.48,41.0,918.64,1498.29,0.0,0.0,0.0,1498.29,579.65
Наука,217.62,6.0,637.45,1111.03,0.0,0.0,0.0,1111.03,473.58
Пакет,0.0,1.0,11.46,23.26,0.0,0.0,0.0,23.26,11.8
Творчість,10188.68,259.0,9969.35,17626.02,0.0,0.0,0.0,17626.02,7656.67
