category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,17711.98,244.25,12540.47,21081.58,3.0,156.58,273.0,20808.58,8424.69
Ігри,10206.47,185.0,8484.07,14337.17,1.0,58.01,98.0,14239.17,5813.11
Інші,0.0,1.0,15.09,30.0,0.0,0.0,0.0,30.0,14.91
Канцтовари,5126.33,248.0,3712.47,6845.21,0.0,0.0,0.0,6845.21,3132.74
Книга,27122.44,846.0,25406.59,41677.81,5.0,324.54,518.0,41159.81,16077.76
Конструктори,4502.44,23.0,3108.09,4997.48,0.0,0.0,0.0,4997.48,1889.39
Музика,362.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Наочні посібники,958.53,70.0,1022.36,1669.68,0.0,0.0,0.0,1669.68,647.32
Наука,361.94,13.0,1174.04,1810.14,0.0,0.0,0.0,1810.14,636.1
Пакет,292.87,10.0,143.79,285.19,0.0,0.0,0.0,285.19,141.4
Творчість,18681.15,562.5,19054.14,32488.74,1.0,48.93,90.0,32398.74,13393.53
