category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Іграшки,18243.26,229.0,15191.89,24680.87,1.0,100.2,163.0,24517.87,9426.18
Ігри,4483.65,111.0,5800.44,9764.51,0.0,0.0,0.0,9764.51,3964.07
Канцтовари,3080.83,178.0,3181.16,5865.61,0.0,0.0,0.0,5865.61,2684.45
Книга,47728.0,905.0,38978.3,62327.27,0.0,0.0,0.0,62327.27,23348.97
Конструктори,4301.73,21.0,2667.01,4295.28,0.0,0.0,0.0,4295.28,1628.27
Музика,305.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Наочні посібники,855.26,52.0,579.07,956.45,0.0,0.0,0.0,956.45,377.38
Наука,154.32,11.0,746.15,1177.0,1.0,35.2,55.0,1122.0,411.05
Пакет,39.9,3.0,39.9,78.0,0.0,0.0,0.0,78.0,38.1
Творчість,16096.29,235.8,11757.91,20172.02,0.0,0.0,0.0,20172.02,8414.11
